area_id,area_name,region_code,region_name,dwelling_type,bedrooms,median_weekly_rent,period_end,source
,Albert Park-Middle Park-West Saint Kilda,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Armadale,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Carlton North,,,unit,1,420.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Carlton-Parkville,,,unit,1,500.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Cbd-Saint Kilda Rd,,,unit,1,550.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Collingwood-Abbotsford,,,unit,1,517.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Docklands,,,unit,1,580.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,East Melbourne,,,unit,1,500.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,East Saint Kilda,,,unit,1,410.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Elwood,,,unit,1,440.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Fitzroy,,,unit,1,528.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Fitzroy North-Clifton Hill,,,unit,1,493.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Flemington-Kensington,,,unit,1,427.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,North Melbourne-West Melbourne,,,unit,1,503.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Port Melbourne,,,unit,1,540.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Prahran-Windsor,,,unit,1,440.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Richmond-Burnley,,,unit,1,500.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,South Melbourne,,,unit,1,538.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,South Yarra,,,unit,1,499.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Southbank,,,unit,1,550.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Saint Kilda,,,unit,1,455.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Toorak,,,unit,1,433.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Balwyn,,,unit,1,479.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Blackburn,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Box Hill,,,unit,1,490.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Bulleen-Templestowe-Doncaster,,,unit,1,480.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Burwood-Ashburton,,,unit,1,420.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Camberwell-Glen Iris,,,unit,1,442.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Canterbury-Surrey Hills-Mont Albert,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Chadstone-Oakleigh,,,unit,1,490.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Clayton,,,unit,1,470.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Doncaster East-Donvale,,,unit,1,478.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,East Hawthorn,,,unit,1,480.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Glen Waverley-Mulgrave,,,unit,1,540.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Hawthorn,,,unit,1,430.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Kew,,,unit,1,470.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Mount Waverley,,,unit,1,262.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Nunawading-Mitcham,,,unit,1,420.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Vermont-Forest Hill-Burwood East,,,unit,1,510.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Aspendale-Chelsea-Carrum,,,unit,1,433.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Bentleigh,,,unit,1,420.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Brighton,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Brighton East,,,unit,1,265.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Carnegie,,,unit,1,400.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Caulfield,,,unit,1,495.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Cheltenham,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Elsternwick,,,unit,1,430.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Hampton-Beaumaris,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Malvern,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Malvern East,,,unit,1,470.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Mentone-Parkdale-Mordialloc,,,unit,1,400.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Murrumbeena-Hughesdale,,,unit,1,395.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Altona,,,unit,1,360.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Footscray,,,unit,1,440.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Keilor East-Avondale Heights,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Melton,,,unit,1,365.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Newport-Spotswood,,,unit,1,453.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Saint Albans-Deer Park,,,unit,1,310.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Sunshine,,,unit,1,330.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Werribee-Hoppers Crossing,,,unit,1,350.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,West Footscray,,,unit,1,350.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Williamstown,,,unit,1,460.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Yarraville-Seddon,,,unit,1,390.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Broadmeadows-Roxburgh Park,,,unit,1,350.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Brunswick,,,unit,1,460.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Coburg-Pascoe Vale South,,,unit,1,438.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,East Brunswick,,,unit,1,500.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Essendon,,,unit,1,420.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
,Moonee Ponds-Ascot Vale,,,unit,1,450.0,2025-Q1,DFFH Rental Report 2025-Q1 (Suburb moving annual)
